id_lien,trafic_max,trafic_out,tdc,equipement,interface_equipement,role_A,configuration_A,client,interface_client,role_B,configuration_B,capacite_lien,isis_level,isis_metric,region_exploitation,date,intervalle_charge
PTN00263_PTN00197,2.39067333984375,0.27347421264648436,11.953366699218751,PTN00263,lag-26,A,7750-SR12,PTN00197,lag-26,A,7750-SR12,20,1,10,NOE,2022-08-01,Inf 70%
PTN00263_PTN00197,2.39067333984375,0.27347421264648436,11.953366699218751,PTN00263,lag-26,A,7750-SR12,PTN00197,lag-26,A,7750-SR12,20,1,10,NOE,2022-08-01,Inf 70%
PTN00200_PTN00201,1.935343017578125,1.935343017578125,6.451143391927083,PTN00200,lag-20,B,7750-SR7,PTN00201,lag-20,B,7750-SR7,30,1,10,NOE,2022-08-01,Inf 70%
PTN00200_PTN00201,1.935343017578125,1.935343017578125,6.451143391927083,PTN00200,lag-20,B,7750-SR7,PTN00201,lag-20,B,7750-SR7,30,1,10,NOE,2022-08-01,Inf 70%
PTN00200_PTN00201,1.935343017578125,1.935343017578125,6.451143391927083,PTN00200,lag-20,B,7750-SR7,PTN00201,lag-20,B,7750-SR7,30,1,10,NOE,2022-08-01,Inf 70%
PTN00249_PTN00248,3.63949072265625,0.3537317810058594,9.098726806640625,PTN00249,lag-20,B,7750-SR7,PTN00248,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00249_PTN00248,3.63949072265625,0.3537317810058594,9.098726806640625,PTN00249,lag-20,B,7750-SR7,PTN00248,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00249_PTN00248,3.63949072265625,0.3537317810058594,9.098726806640625,PTN00249,lag-20,B,7750-SR7,PTN00248,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00249_PTN00248,3.63949072265625,0.3537317810058594,9.098726806640625,PTN00249,lag-20,B,7750-SR7,PTN00248,lag-20,B,7750-SR7,40,1,10,WST,2022-08-01,Inf 70%
PTN00035_PTN00036,2.33250634765625,0.4261455078125,7.775021158854166,PTN00035,lag-21,B,7750-SR7,PTN00036,lag-21,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN00035_PTN00036,2.33250634765625,0.4261455078125,7.775021158854166,PTN00035,lag-21,B,7750-SR7,PTN00036,lag-21,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
PTN00035_PTN00036,2.33250634765625,0.4261455078125,7.775021158854166,PTN00035,lag-21,B,7750-SR7,PTN00036,lag-21,B,7750-SR7,30,1,10,MED,2022-08-01,Inf 70%
